function_id,safety_class,reason
psych::SAPAfy,safe,Psychometrics/statistical helper on in-memory data
psych::SD,safe,Psychometrics/statistical helper on in-memory data
psych::TargetQ,safe,Psychometrics/statistical helper on in-memory data
psych::TargetT,safe,Psychometrics/statistical helper on in-memory data
psych::VSS,safe,Psychometrics/statistical helper on in-memory data
psych::VSS.parallel,safe,Psychometrics/statistical helper on in-memory data
psych::VSS.scree,safe,Psychometrics/statistical helper on in-memory data
psych::VSS.sim,safe,Psychometrics/statistical helper on in-memory data
psych::VSS.simulate,safe,Psychometrics/statistical helper on in-memory data
psych::Yule,safe,Psychometrics/statistical helper on in-memory data
psych::Yule.inv,safe,Psychometrics/statistical helper on in-memory data
psych::Yule2phi,safe,Psychometrics/statistical helper on in-memory data
psych::Yule2phi.matrix,safe,Psychometrics/statistical helper on in-memory data
psych::Yule2poly,safe,Psychometrics/statistical helper on in-memory data
psych::Yule2poly.matrix,safe,Psychometrics/statistical helper on in-memory data
psych::Yule2tetra,safe,Psychometrics/statistical helper on in-memory data
psych::YuleBonett,safe,Psychometrics/statistical helper on in-memory data
psych::YuleCor,safe,Psychometrics/statistical helper on in-memory data
psych::acs,safe,Psychometrics/statistical helper on in-memory data
psych::alpha,safe,Pure computation — Cronbach's alpha and reliability statistics
psych::alpha.ci,safe,Psychometrics/statistical helper on in-memory data
psych::alpha2r,safe,Psychometrics/statistical helper on in-memory data
psych::anova.psych,safe,Psychometrics/statistical helper on in-memory data
psych::autoR,safe,Psychometrics/statistical helper on in-memory data
psych::bassAckward,safe,Psychometrics/statistical helper on in-memory data
psych::bassAckward.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::bestItems,safe,Psychometrics/statistical helper on in-memory data
psych::bestScales,safe,Psychometrics/statistical helper on in-memory data
psych::bi.bars,safe,Psychometrics/statistical helper on in-memory data
psych::bifactor,safe,Psychometrics/statistical helper on in-memory data
psych::bigCor,safe,Psychometrics/statistical helper on in-memory data
psych::biquartimin,safe,Psychometrics/statistical helper on in-memory data
psych::biserial,safe,Psychometrics/statistical helper on in-memory data
psych::block.random,safe,Psychometrics/statistical helper on in-memory data
psych::cancorDiagram,safe,Psychometrics/statistical helper on in-memory data
psych::cd.validity,safe,Psychometrics/statistical helper on in-memory data
psych::char2numeric,safe,Psychometrics/statistical helper on in-memory data
psych::chi2r,safe,Psychometrics/statistical helper on in-memory data
psych::circ.sim,safe,Psychometrics/statistical helper on in-memory data
psych::circ.simulation,safe,Psychometrics/statistical helper on in-memory data
psych::circ.tests,safe,Psychometrics/statistical helper on in-memory data
psych::circadian.F,safe,Psychometrics/statistical helper on in-memory data
psych::circadian.cor,safe,Psychometrics/statistical helper on in-memory data
psych::circadian.linear.cor,safe,Psychometrics/statistical helper on in-memory data
psych::circadian.mean,safe,Psychometrics/statistical helper on in-memory data
psych::circadian.phase,safe,Psychometrics/statistical helper on in-memory data
psych::circadian.reliability,safe,Psychometrics/statistical helper on in-memory data
psych::circadian.sd,safe,Psychometrics/statistical helper on in-memory data
psych::circadian.stats,safe,Psychometrics/statistical helper on in-memory data
psych::circular.cor,safe,Psychometrics/statistical helper on in-memory data
psych::circular.mean,safe,Psychometrics/statistical helper on in-memory data
psych::cluster.cor,safe,Psychometrics/statistical helper on in-memory data
psych::cluster.fit,safe,Psychometrics/statistical helper on in-memory data
psych::cluster.loadings,safe,Psychometrics/statistical helper on in-memory data
psych::cluster2keys,safe,Psychometrics/statistical helper on in-memory data
psych::cohen.d,safe,Psychometrics/statistical helper on in-memory data
psych::cohen.d.by,safe,Psychometrics/statistical helper on in-memory data
psych::cohen.d.ci,safe,Psychometrics/statistical helper on in-memory data
psych::cohen.kappa,safe,Psychometrics/statistical helper on in-memory data
psych::cohen.profile,safe,Psychometrics/statistical helper on in-memory data
psych::cohenPooled,safe,Psychometrics/statistical helper on in-memory data
psych::comorbidity,safe,Psychometrics/statistical helper on in-memory data
psych::con2cat,safe,Psychometrics/statistical helper on in-memory data
psych::congeneric.sim,safe,Psychometrics/statistical helper on in-memory data
psych::congruence,safe,Psychometrics/statistical helper on in-memory data
psych::cor.ci,safe,Psychometrics/statistical helper on in-memory data
psych::cor.smooth,safe,Psychometrics/statistical helper on in-memory data
psych::cor.smoother,safe,Psychometrics/statistical helper on in-memory data
psych::cor.wt,safe,Psychometrics/statistical helper on in-memory data
psych::cor2,safe,Psychometrics/statistical helper on in-memory data
psych::cor2cov,safe,Psychometrics/statistical helper on in-memory data
psych::cor2dist,safe,Psychometrics/statistical helper on in-memory data
psych::corCi,safe,Psychometrics/statistical helper on in-memory data
psych::corFiml,safe,Psychometrics/statistical helper on in-memory data
psych::corInfo,safe,Psychometrics/statistical helper on in-memory data
psych::corTest,safe,Psychometrics/statistical helper on in-memory data
psych::corr.p,safe,Psychometrics/statistical helper on in-memory data
psych::corr.test,safe,Pure computation — correlation matrix with significance tests
psych::correct.cor,safe,Psychometrics/statistical helper on in-memory data
psych::cortest,safe,Psychometrics/statistical helper on in-memory data
psych::cortest.bartlett,safe,Psychometrics/statistical helper on in-memory data
psych::cortest.jennrich,safe,Psychometrics/statistical helper on in-memory data
psych::cortest.mat,safe,Psychometrics/statistical helper on in-memory data
psych::cortest.normal,safe,Psychometrics/statistical helper on in-memory data
psych::cosinor,safe,Psychometrics/statistical helper on in-memory data
psych::cosinor.period,safe,Psychometrics/statistical helper on in-memory data
psych::count.pairwise,safe,Psychometrics/statistical helper on in-memory data
psych::crossValidation,safe,Psychometrics/statistical helper on in-memory data
psych::crossValidationBoot,safe,Psychometrics/statistical helper on in-memory data
psych::cs,safe,Psychometrics/statistical helper on in-memory data
psych::cta,safe,Psychometrics/statistical helper on in-memory data
psych::cta.15,safe,Psychometrics/statistical helper on in-memory data
psych::d.ci,safe,Psychometrics/statistical helper on in-memory data
psych::d.robust,safe,Psychometrics/statistical helper on in-memory data
psych::d2CL,safe,Psychometrics/statistical helper on in-memory data
psych::d2OVL,safe,Psychometrics/statistical helper on in-memory data
psych::d2OVL2,safe,Psychometrics/statistical helper on in-memory data
psych::d2U3,safe,Psychometrics/statistical helper on in-memory data
psych::d2r,safe,Psychometrics/statistical helper on in-memory data
psych::d2t,safe,Psychometrics/statistical helper on in-memory data
psych::densityBy,safe,Psychometrics/statistical helper on in-memory data
psych::describe,safe,Pure computation — descriptive statistics for data frame or matrix
psych::describe.by,safe,Psychometrics/statistical helper on in-memory data
psych::describeBy,safe,Psychometrics/statistical helper on in-memory data
psych::describeData,safe,Psychometrics/statistical helper on in-memory data
psych::describeFast,safe,Psychometrics/statistical helper on in-memory data
psych::dia.arrow,safe,Psychometrics/statistical helper on in-memory data
psych::dia.cone,safe,Psychometrics/statistical helper on in-memory data
psych::dia.curve,safe,Psychometrics/statistical helper on in-memory data
psych::dia.curved.arrow,safe,Psychometrics/statistical helper on in-memory data
psych::dia.ellipse,safe,Psychometrics/statistical helper on in-memory data
psych::dia.ellipse1,safe,Psychometrics/statistical helper on in-memory data
psych::dia.rect,safe,Psychometrics/statistical helper on in-memory data
psych::dia.self,safe,Psychometrics/statistical helper on in-memory data
psych::dia.shape,safe,Psychometrics/statistical helper on in-memory data
psych::dia.triangle,safe,Psychometrics/statistical helper on in-memory data
psych::diagram,safe,Psychometrics/statistical helper on in-memory data
psych::directSl,safe,Psychometrics/statistical helper on in-memory data
psych::distance,safe,Psychometrics/statistical helper on in-memory data
psych::draw.cor,safe,Psychometrics/statistical helper on in-memory data
psych::draw.tetra,safe,Psychometrics/statistical helper on in-memory data
psych::dummy.code,safe,Psychometrics/statistical helper on in-memory data
psych::eigen.loadings,safe,Psychometrics/statistical helper on in-memory data
psych::eigenCi,safe,Psychometrics/statistical helper on in-memory data
psych::ellipses,safe,Psychometrics/statistical helper on in-memory data
psych::equamax,safe,Psychometrics/statistical helper on in-memory data
psych::error.bars,safe,Psychometrics/statistical helper on in-memory data
psych::error.bars.by,safe,Psychometrics/statistical helper on in-memory data
psych::error.bars.tab,safe,Psychometrics/statistical helper on in-memory data
psych::error.crosses,safe,Psychometrics/statistical helper on in-memory data
psych::error.dots,safe,Psychometrics/statistical helper on in-memory data
psych::errorCircles,safe,Psychometrics/statistical helper on in-memory data
psych::esem,safe,Psychometrics/statistical helper on in-memory data
psych::esem.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::esemDiagram,safe,Psychometrics/statistical helper on in-memory data
psych::extension.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::fa,safe,Pure computation — factor analysis by various extraction methods
psych::fa.congruence,safe,Psychometrics/statistical helper on in-memory data
psych::fa.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::fa.extend,safe,Psychometrics/statistical helper on in-memory data
psych::fa.extension,safe,Psychometrics/statistical helper on in-memory data
psych::fa.lookup,safe,Psychometrics/statistical helper on in-memory data
psych::fa.multi,safe,Psychometrics/statistical helper on in-memory data
psych::fa.multi.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::fa.organize,safe,Psychometrics/statistical helper on in-memory data
psych::fa.parallel,safe,Psychometrics/statistical helper on in-memory data
psych::fa.parallel.poly,safe,Psychometrics/statistical helper on in-memory data
psych::fa.poly,safe,Psychometrics/statistical helper on in-memory data
psych::fa.pooled,safe,Psychometrics/statistical helper on in-memory data
psych::fa.random,safe,Psychometrics/statistical helper on in-memory data
psych::fa.sapa,safe,Psychometrics/statistical helper on in-memory data
psych::fa.sort,safe,Psychometrics/statistical helper on in-memory data
psych::fa.stats,safe,Psychometrics/statistical helper on in-memory data
psych::fa2irt,safe,Psychometrics/statistical helper on in-memory data
psych::faBy,safe,Psychometrics/statistical helper on in-memory data
psych::faCor,safe,Psychometrics/statistical helper on in-memory data
psych::faReg,safe,Psychometrics/statistical helper on in-memory data
psych::faRegression,safe,Psychometrics/statistical helper on in-memory data
psych::faRotate,safe,Psychometrics/statistical helper on in-memory data
psych::faRotations,safe,Psychometrics/statistical helper on in-memory data
psych::fac,safe,Psychometrics/statistical helper on in-memory data
psych::factor.congruence,safe,Psychometrics/statistical helper on in-memory data
psych::factor.fit,safe,Psychometrics/statistical helper on in-memory data
psych::factor.minres,safe,Psychometrics/statistical helper on in-memory data
psych::factor.model,safe,Psychometrics/statistical helper on in-memory data
psych::factor.pa,safe,Psychometrics/statistical helper on in-memory data
psych::factor.residuals,safe,Psychometrics/statistical helper on in-memory data
psych::factor.rotate,safe,Psychometrics/statistical helper on in-memory data
psych::factor.scores,safe,Pure computation — computes factor scores from fa/principal output
psych::factor.stats,safe,Psychometrics/statistical helper on in-memory data
psych::factor.wls,safe,Psychometrics/statistical helper on in-memory data
psych::factor2cluster,safe,Psychometrics/statistical helper on in-memory data
psych::fisherz,safe,Psychometrics/statistical helper on in-memory data
psych::fisherz2r,safe,Psychometrics/statistical helper on in-memory data
psych::fparse,safe,Psychometrics/statistical helper on in-memory data
psych::fromTo,safe,Psychometrics/statistical helper on in-memory data
psych::g2r,safe,Psychometrics/statistical helper on in-memory data
psych::geometric.mean,safe,Psychometrics/statistical helper on in-memory data
psych::glb,safe,Psychometrics/statistical helper on in-memory data
psych::glb.algebraic,safe,Psychometrics/statistical helper on in-memory data
psych::glb.fa,safe,Psychometrics/statistical helper on in-memory data
psych::guttman,safe,Psychometrics/statistical helper on in-memory data
psych::harmonic.mean,safe,Psychometrics/statistical helper on in-memory data
psych::headTail,safe,Psychometrics/statistical helper on in-memory data
psych::headtail,safe,Psychometrics/statistical helper on in-memory data
psych::het.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::histBy,safe,Psychometrics/statistical helper on in-memory data
psych::iclust,safe,Psychometrics/statistical helper on in-memory data
psych::iclust.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::iclust.sort,safe,Psychometrics/statistical helper on in-memory data
psych::interbattery,safe,Psychometrics/statistical helper on in-memory data
psych::interp.median,safe,Psychometrics/statistical helper on in-memory data
psych::interp.q,safe,Psychometrics/statistical helper on in-memory data
psych::interp.quantiles,safe,Psychometrics/statistical helper on in-memory data
psych::interp.quart,safe,Psychometrics/statistical helper on in-memory data
psych::interp.quartiles,safe,Psychometrics/statistical helper on in-memory data
psych::interp.values,safe,Psychometrics/statistical helper on in-memory data
psych::irt.0p,safe,Psychometrics/statistical helper on in-memory data
psych::irt.1p,safe,Psychometrics/statistical helper on in-memory data
psych::irt.2p,safe,Psychometrics/statistical helper on in-memory data
psych::irt.discrim,safe,Psychometrics/statistical helper on in-memory data
psych::irt.fa,safe,Psychometrics/statistical helper on in-memory data
psych::irt.item.diff.rasch,safe,Psychometrics/statistical helper on in-memory data
psych::irt.person.rasch,safe,Psychometrics/statistical helper on in-memory data
psych::irt.responses,safe,Psychometrics/statistical helper on in-memory data
psych::irt.se,safe,Psychometrics/statistical helper on in-memory data
psych::irt.select,safe,Psychometrics/statistical helper on in-memory data
psych::irt.stats.like,safe,Psychometrics/statistical helper on in-memory data
psych::irt.tau,safe,Psychometrics/statistical helper on in-memory data
psych::isCorrelation,safe,Psychometrics/statistical helper on in-memory data
psych::isCovariance,safe,Psychometrics/statistical helper on in-memory data
psych::item.dichot,safe,Psychometrics/statistical helper on in-memory data
psych::item.lookup,safe,Psychometrics/statistical helper on in-memory data
psych::item.sim,safe,Psychometrics/statistical helper on in-memory data
psych::item.validity,safe,Psychometrics/statistical helper on in-memory data
psych::itemSort,safe,Psychometrics/statistical helper on in-memory data
psych::kaiser,safe,Psychometrics/statistical helper on in-memory data
psych::keys.lookup,safe,Psychometrics/statistical helper on in-memory data
psych::keys2list,safe,Psychometrics/statistical helper on in-memory data
psych::keysort,safe,Psychometrics/statistical helper on in-memory data
psych::kurtosi,safe,Psychometrics/statistical helper on in-memory data
psych::lavaan.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::levels2numeric,safe,Psychometrics/statistical helper on in-memory data
psych::lmCor,safe,Psychometrics/statistical helper on in-memory data
psych::lmCor.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::lmCorLookup,safe,Psychometrics/statistical helper on in-memory data
psych::lmDiagram,safe,Psychometrics/statistical helper on in-memory data
psych::logistic,safe,Psychometrics/statistical helper on in-memory data
psych::logistic.grm,safe,Psychometrics/statistical helper on in-memory data
psych::logit,safe,Psychometrics/statistical helper on in-memory data
psych::lookup,safe,Psychometrics/statistical helper on in-memory data
psych::lookupFromKeys,safe,Psychometrics/statistical helper on in-memory data
psych::lookupItems,safe,Psychometrics/statistical helper on in-memory data
psych::lowerCor,safe,Psychometrics/statistical helper on in-memory data
psych::lowerMat,safe,Psychometrics/statistical helper on in-memory data
psych::lowerUpper,safe,Psychometrics/statistical helper on in-memory data
psych::m2d,safe,Psychometrics/statistical helper on in-memory data
psych::m2t,safe,Psychometrics/statistical helper on in-memory data
psych::make.congeneric,safe,Psychometrics/statistical helper on in-memory data
psych::make.hierarchical,safe,Psychometrics/statistical helper on in-memory data
psych::make.irt.stats,safe,Psychometrics/statistical helper on in-memory data
psych::make.keys,safe,Psychometrics/statistical helper on in-memory data
psych::makePositiveKeys,safe,Psychometrics/statistical helper on in-memory data
psych::manhattan,safe,Psychometrics/statistical helper on in-memory data
psych::mardia,safe,Psychometrics/statistical helper on in-memory data
psych::mat.regress,safe,Psychometrics/statistical helper on in-memory data
psych::mat.sort,safe,Psychometrics/statistical helper on in-memory data
psych::matMult,safe,Psychometrics/statistical helper on in-memory data
psych::matReg,safe,Psychometrics/statistical helper on in-memory data
psych::matSort,safe,Psychometrics/statistical helper on in-memory data
psych::mediate,safe,Psychometrics/statistical helper on in-memory data
psych::mediate.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::minkowski,safe,Psychometrics/statistical helper on in-memory data
psych::mixed.cor,safe,Psychometrics/statistical helper on in-memory data
psych::mixedCor,safe,Psychometrics/statistical helper on in-memory data
psych::mlArrange,safe,Psychometrics/statistical helper on in-memory data
psych::mlr,safe,Psychometrics/statistical helper on in-memory data
psych::moderate.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::mssd,safe,Psychometrics/statistical helper on in-memory data
psych::multi.arrow,safe,Psychometrics/statistical helper on in-memory data
psych::multi.curved.arrow,safe,Psychometrics/statistical helper on in-memory data
psych::multi.hist,safe,Psychometrics/statistical helper on in-memory data
psych::multi.rect,safe,Psychometrics/statistical helper on in-memory data
psych::multi.self,safe,Psychometrics/statistical helper on in-memory data
psych::multilevel.reliability,safe,Psychometrics/statistical helper on in-memory data
psych::nchar2numeric,safe,Psychometrics/statistical helper on in-memory data
psych::nfactors,safe,Psychometrics/statistical helper on in-memory data
psych::omega,safe,Psychometrics/statistical helper on in-memory data
psych::omega.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::omegaDirect,safe,Psychometrics/statistical helper on in-memory data
psych::omegaFromSem,safe,Psychometrics/statistical helper on in-memory data
psych::omegaSem,safe,Psychometrics/statistical helper on in-memory data
psych::omegah,safe,Psychometrics/statistical helper on in-memory data
psych::outlier,safe,Psychometrics/statistical helper on in-memory data
psych::p.rep,safe,Psychometrics/statistical helper on in-memory data
psych::p.rep.f,safe,Psychometrics/statistical helper on in-memory data
psych::p.rep.r,safe,Psychometrics/statistical helper on in-memory data
psych::p.rep.t,safe,Psychometrics/statistical helper on in-memory data
psych::paSelect,safe,Psychometrics/statistical helper on in-memory data
psych::paired.r,safe,Psychometrics/statistical helper on in-memory data
psych::pairs.panels,safe,Psychometrics/statistical helper on in-memory data
psych::pairwiseCount,safe,Psychometrics/statistical helper on in-memory data
psych::pairwiseCountBig,safe,Psychometrics/statistical helper on in-memory data
psych::pairwiseDescribe,safe,Psychometrics/statistical helper on in-memory data
psych::pairwiseImpute,safe,Psychometrics/statistical helper on in-memory data
psych::pairwiseReport,safe,Psychometrics/statistical helper on in-memory data
psych::pairwiseSample,safe,Psychometrics/statistical helper on in-memory data
psych::pairwiseZero,safe,Psychometrics/statistical helper on in-memory data
psych::parcels,safe,Psychometrics/statistical helper on in-memory data
psych::partial.r,safe,Psychometrics/statistical helper on in-memory data
psych::pca,safe,Psychometrics/statistical helper on in-memory data
psych::phi,safe,Psychometrics/statistical helper on in-memory data
psych::phi.demo,safe,Psychometrics/statistical helper on in-memory data
psych::phi.list,safe,Psychometrics/statistical helper on in-memory data
psych::phi2poly,safe,Psychometrics/statistical helper on in-memory data
psych::phi2poly.matrix,safe,Psychometrics/statistical helper on in-memory data
psych::phi2tetra,safe,Psychometrics/statistical helper on in-memory data
psych::polar,safe,Psychometrics/statistical helper on in-memory data
psych::poly.mat,safe,Psychometrics/statistical helper on in-memory data
psych::polychoric,safe,Pure computation — polychoric correlations for ordinal data
psych::polydi,safe,Psychometrics/statistical helper on in-memory data
psych::polyserial,safe,Psychometrics/statistical helper on in-memory data
psych::predict.psych,safe,Psychometrics/statistical helper on in-memory data
psych::predicted.validity,safe,Psychometrics/statistical helper on in-memory data
psych::principal,safe,Pure computation — principal components analysis (PCA) via psych
psych::print.psych,safe,Psychometrics/statistical helper on in-memory data
psych::progressBar,safe,Psychometrics/statistical helper on in-memory data
psych::psych,safe,Psychometrics/statistical helper on in-memory data
psych::psych.misc,safe,Psychometrics/statistical helper on in-memory data
psych::quickView,safe,Psychometrics/statistical helper on in-memory data
psych::r.con,safe,Psychometrics/statistical helper on in-memory data
psych::r.test,safe,Psychometrics/statistical helper on in-memory data
psych::r2c,safe,Psychometrics/statistical helper on in-memory data
psych::r2chi,safe,Psychometrics/statistical helper on in-memory data
psych::r2d,safe,Psychometrics/statistical helper on in-memory data
psych::r2p,safe,Psychometrics/statistical helper on in-memory data
psych::r2t,safe,Psychometrics/statistical helper on in-memory data
psych::radar,safe,Psychometrics/statistical helper on in-memory data
psych::rangeCorrection,safe,Psychometrics/statistical helper on in-memory data
psych::reflect,safe,Psychometrics/statistical helper on in-memory data
psych::reliability,safe,Psychometrics/statistical helper on in-memory data
psych::removeMissing,safe,Psychometrics/statistical helper on in-memory data
psych::rescale,safe,Psychometrics/statistical helper on in-memory data
psych::resid.psych,safe,Psychometrics/statistical helper on in-memory data
psych::residuals.psych,safe,Psychometrics/statistical helper on in-memory data
psych::response.frequencies,safe,Psychometrics/statistical helper on in-memory data
psych::responseFrequency,safe,Psychometrics/statistical helper on in-memory data
psych::reverse.code,safe,Psychometrics/statistical helper on in-memory data
psych::rmssd,safe,Psychometrics/statistical helper on in-memory data
psych::scaling.fits,safe,Psychometrics/statistical helper on in-memory data
psych::scatter.hist,safe,Psychometrics/statistical helper on in-memory data
psych::scatterHist,safe,Psychometrics/statistical helper on in-memory data
psych::schmid,safe,Psychometrics/statistical helper on in-memory data
psych::score.alpha,safe,Psychometrics/statistical helper on in-memory data
psych::score.irt,safe,Psychometrics/statistical helper on in-memory data
psych::score.irt.2,safe,Psychometrics/statistical helper on in-memory data
psych::score.irt.poly,safe,Psychometrics/statistical helper on in-memory data
psych::score.items,safe,Psychometrics/statistical helper on in-memory data
psych::score.multiple.choice,safe,Psychometrics/statistical helper on in-memory data
psych::scoreBy,safe,Psychometrics/statistical helper on in-memory data
psych::scoreFast,safe,Psychometrics/statistical helper on in-memory data
psych::scoreIrt,safe,Psychometrics/statistical helper on in-memory data
psych::scoreIrt.1pl,safe,Psychometrics/statistical helper on in-memory data
psych::scoreIrt.2pl,safe,Psychometrics/statistical helper on in-memory data
psych::scoreItems,safe,Psychometrics/statistical helper on in-memory data
psych::scoreOverlap,safe,Psychometrics/statistical helper on in-memory data
psych::scoreVeryFast,safe,Psychometrics/statistical helper on in-memory data
psych::scoreWtd,safe,Psychometrics/statistical helper on in-memory data
psych::scree,callable_with_caveats,Generates scree plot (graphics side effect on print)
psych::scrub,safe,Psychometrics/statistical helper on in-memory data
psych::selectFromKeys,safe,Psychometrics/statistical helper on in-memory data
psych::sem.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::set.cor,safe,Psychometrics/statistical helper on in-memory data
psych::setCor,safe,Psychometrics/statistical helper on in-memory data
psych::shannon,safe,Psychometrics/statistical helper on in-memory data
psych::sim,safe,Psychometrics/statistical helper on in-memory data
psych::sim.VSS,safe,Psychometrics/statistical helper on in-memory data
psych::sim.anova,safe,Psychometrics/statistical helper on in-memory data
psych::sim.bonds,safe,Psychometrics/statistical helper on in-memory data
psych::sim.circ,safe,Psychometrics/statistical helper on in-memory data
psych::sim.congeneric,safe,Psychometrics/statistical helper on in-memory data
psych::sim.correlation,safe,Psychometrics/statistical helper on in-memory data
psych::sim.dichot,safe,Psychometrics/statistical helper on in-memory data
psych::sim.general,safe,Psychometrics/statistical helper on in-memory data
psych::sim.hierarchical,safe,Psychometrics/statistical helper on in-memory data
psych::sim.irt,safe,Psychometrics/statistical helper on in-memory data
psych::sim.item,safe,Psychometrics/statistical helper on in-memory data
psych::sim.minor,safe,Psychometrics/statistical helper on in-memory data
psych::sim.multi,safe,Psychometrics/statistical helper on in-memory data
psych::sim.multilevel,safe,Psychometrics/statistical helper on in-memory data
psych::sim.npl,safe,Psychometrics/statistical helper on in-memory data
psych::sim.npn,safe,Psychometrics/statistical helper on in-memory data
psych::sim.omega,safe,Psychometrics/statistical helper on in-memory data
psych::sim.parallel,safe,Psychometrics/statistical helper on in-memory data
psych::sim.poly,safe,Psychometrics/statistical helper on in-memory data
psych::sim.poly.ideal,safe,Psychometrics/statistical helper on in-memory data
psych::sim.poly.ideal.npl,safe,Psychometrics/statistical helper on in-memory data
psych::sim.poly.ideal.npn,safe,Psychometrics/statistical helper on in-memory data
psych::sim.poly.mat,safe,Psychometrics/statistical helper on in-memory data
psych::sim.poly.npl,safe,Psychometrics/statistical helper on in-memory data
psych::sim.poly.npn,safe,Psychometrics/statistical helper on in-memory data
psych::sim.rasch,safe,Psychometrics/statistical helper on in-memory data
psych::sim.simplex,safe,Psychometrics/statistical helper on in-memory data
psych::sim.spherical,safe,Psychometrics/statistical helper on in-memory data
psych::sim.structural,safe,Psychometrics/statistical helper on in-memory data
psych::sim.structure,safe,Psychometrics/statistical helper on in-memory data
psych::simCor,safe,Psychometrics/statistical helper on in-memory data
psych::simulation.circ,safe,Psychometrics/statistical helper on in-memory data
psych::skew,safe,Psychometrics/statistical helper on in-memory data
psych::smc,safe,Psychometrics/statistical helper on in-memory data
psych::spider,safe,Psychometrics/statistical helper on in-memory data
psych::splitHalf,safe,Psychometrics/statistical helper on in-memory data
psych::statsBy,safe,Psychometrics/statistical helper on in-memory data
psych::statsBy.boot,safe,Psychometrics/statistical helper on in-memory data
psych::statsBy.boot.summary,safe,Psychometrics/statistical helper on in-memory data
psych::structure.diagram,safe,Psychometrics/statistical helper on in-memory data
psych::structure.list,safe,Psychometrics/statistical helper on in-memory data
psych::structure.sem,safe,Psychometrics/statistical helper on in-memory data
psych::summary.psych,safe,Psychometrics/statistical helper on in-memory data
psych::super.matrix,safe,Psychometrics/statistical helper on in-memory data
psych::superCor,safe,Psychometrics/statistical helper on in-memory data
psych::superMatrix,safe,Psychometrics/statistical helper on in-memory data
psych::t2d,safe,Psychometrics/statistical helper on in-memory data
psych::t2r,safe,Psychometrics/statistical helper on in-memory data
psych::table2df,safe,Psychometrics/statistical helper on in-memory data
psych::table2matrix,safe,Psychometrics/statistical helper on in-memory data
psych::tableF,safe,Psychometrics/statistical helper on in-memory data
psych::target.rot,safe,Psychometrics/statistical helper on in-memory data
psych::tenberge,safe,Psychometrics/statistical helper on in-memory data
psych::test.all,safe,Psychometrics/statistical helper on in-memory data
psych::test.irt,safe,Psychometrics/statistical helper on in-memory data
psych::test.psych,safe,Psychometrics/statistical helper on in-memory data
psych::testRetest,safe,Psychometrics/statistical helper on in-memory data
psych::tetrachoric,safe,Pure computation — tetrachoric correlations for binary data
psych::thurstone,safe,Psychometrics/statistical helper on in-memory data
psych::topBottom,safe,Psychometrics/statistical helper on in-memory data
psych::tr,safe,Psychometrics/statistical helper on in-memory data
psych::unidim,safe,Psychometrics/statistical helper on in-memory data
psych::validityItem,safe,Psychometrics/statistical helper on in-memory data
psych::varimin,safe,Psychometrics/statistical helper on in-memory data
psych::vgQ.bimin,safe,Psychometrics/statistical helper on in-memory data
psych::vgQ.targetQ,safe,Psychometrics/statistical helper on in-memory data
psych::vgQ.varimin,safe,Psychometrics/statistical helper on in-memory data
psych::violin,safe,Psychometrics/statistical helper on in-memory data
psych::violinBy,safe,Psychometrics/statistical helper on in-memory data
psych::vss,safe,Psychometrics/statistical helper on in-memory data
psych::vssSelect,safe,Psychometrics/statistical helper on in-memory data
psych::winsor,safe,Psychometrics/statistical helper on in-memory data
psych::winsor.mean,safe,Psychometrics/statistical helper on in-memory data
psych::winsor.means,safe,Psychometrics/statistical helper on in-memory data
psych::winsor.sd,safe,Psychometrics/statistical helper on in-memory data
psych::winsor.var,safe,Psychometrics/statistical helper on in-memory data
psych::wkappa,safe,Psychometrics/statistical helper on in-memory data
purrr::accumulate,callable_with_caveats,Higher-order function - purity depends on callback
purrr::compact,callable_with_caveats,Higher-order function - purity depends on callback
purrr::detect,callable_with_caveats,Higher-order function - purity depends on callback
purrr::detect_index,callable_with_caveats,Higher-order function - purity depends on callback
purrr::discard,safe,Pure computation — discards list elements matching predicate
purrr::every,callable_with_caveats,Higher-order function - purity depends on callback
purrr::head_while,callable_with_caveats,Higher-order function - purity depends on callback
purrr::imap,callable_with_caveats,Higher-order function - purity depends on callback
purrr::keep,safe,Pure computation — filters list elements by predicate
purrr::map,safe,Pure computation — applies function to list/vector elements
purrr::map2,safe,Pure computation — applies function to two parallel lists
purrr::map_at,callable_with_caveats,Higher-order function - purity depends on callback
purrr::map_chr,safe,Pure computation — map returning character vector
purrr::map_dbl,safe,Pure computation — map returning double vector
purrr::map_depth,callable_with_caveats,Higher-order function - purity depends on callback
purrr::map_dfc,callable_with_caveats,Higher-order function - purity depends on callback
purrr::map_dfr,safe,Pure computation — map returning row-bound data frame
